systemstop,objectid,street,routesstpg,public_nam,point_x,point_y
11953,193,92ND STREET,95,92nd Street & Baltimore,-87.54862704,41.72818418
2723,194,79TH STREET,79,79th Street & Kilpatrick,-87.73722716,41.74911107
1307,195,FULLERTON,74,Fullerton & Kilpatrick,-87.74397363,41.92414302
6696,196,TAYLOR,157,Taylor & Throop,-87.65929365,41.86931425
22,197,JACKSON,126,Jackson & Karlov,-87.72780787,41.8770066
4767,198,FOSTER,92,Foster & Monticello,-87.71978,41.975526
6057,199,ASHLAND,"9,X9",Ashland & Cermak/Blue Island,-87.66617293,41.85248368
1790,200,CLARK,22,Clark & Albion,-87.67198065,42.00178504
1847,201,CLARK,"22,36",Clark & Burton,-87.631719,41.909497
11474,202,RIDGE,84,Ridge & Broadway/Bryn Mawr,-87.660447,41.983932
1368,203,LINCOLN,11,Lincoln & Berwyn,-87.692578,41.977713
11877,204,CALIFORNIA,93,California & Devon,-87.69972827,41.99764619
3718,205,HALSTED,"8A,108",Halsted & 115th Street,-87.64227929,41.68519279
5173,206,RACINE,44,Racine & 60th Street,-87.65469488,41.78513736
5182,207,RACINE,44,Racine & 68th Street,-87.65434201,41.77057756
7543,208,MICHIGAN,"34,119",Michigan & 110th Street,-87.62086382,41.6945046
10235,209,CICERO,54,Cicero & Iowa,-87.74591,41.896936
4525,210,ARCHER,"62,62H",Archer & Major,-87.76464595,41.79544108
5368,211,BROADWAY,36,Broadway & Surf,-87.64431034,41.93492829
9925,212,NORTHWEST HWY,68,Northwest Hwy & Overhill,-87.81870908,42.00432736
9936,213,NORTHWEST HWY,68,Northwest Hwy & Niagara,-87.8008397,41.99339964
16069,214,CICERO,54B,Cicero & Pershing,-87.74369328,41.82179553
2259,215,KING DRIVE,3,King Drive & 90th Street,-87.61445367,41.73096625
14102,216,JEFFERSON PARK,81,Jefferson Park Transit Center,-87.76185025,41.96984927
7058,217,S. SHORE DRIVE,"N5,6,26,71",S. Shore Drive & 77th Street,-87.55339915,41.75689547
5353,218,BROADWAY,36,Broadway & Cullom,-87.654145,41.960081
6488,219,WENTWORTH,24,Wentworth & Cermak,-87.63191809,41.85269836
5710,220,IRVING PARK,80,Irving Park & Keystone (Blue Line),-87.72903944,41.95374569
5314,221,67TH STREET,"N5,6,15,67",67th Street & East End,-87.58383046,41.77341842
4723,222,JACKSON,126,Jackson & Campbell,-87.68868467,41.87759071
8099,223,47TH STREET,47,47th Street & Albany,-87.70140483,41.80822289
237,224,CONGRESS,7,Congress & Karlov,-87.72774701,41.87439868
458,225,MADISON,20,Madison & Peoria,-87.649477,41.8818
9688,226,LAWRENCE,"81W,91",Lawrence & Menard,-87.772711,41.967761
10122,227,71ST STREET,67,71st Street & Spaulding,-87.7052,41.764399
335,228,ROOSEVELT,12,Roosevelt & May,-87.65499111,41.86711341
9749,229,LAWRENCE,81W,Lawrence & Prospect,-87.83101847,41.96676517
7997,230,43RD STREET,43,43rd Street & Cottage Grove,-87.60657472,41.81688172
9517,231,87TH STREET,87,87th Street & Albany,-87.69960034,41.7353777
7586,232,131ST STREET,34,131st Street & Rhodes,-87.609601,41.657499
4132,233,ARMITAGE,73,4600 W Armitage,-87.74183673,41.91705044
14681,234,CENTRAL STREET,201,Central Street & Ridge,-87.68329,42.06417
9687,235,LAWRENCE,"81W,91",Lawrence & Major,-87.770069,41.967801
5379,236,STATE,36,State & Huron,-87.628241,41.895007
12609,237,ADDISON,152,Addison & Melvina,-87.78122829,41.94575459
9314,238,BELMONT,77,Belmont & Central Park,-87.71726747,41.93927553
14523,239,CHICAGO,66,Chicago & Hamlin,-87.72134984,41.89548807
12574,240,ADDISON,152,Addison & California,-87.69785558,41.94674469
1543,241,51ST STREET,15,51st Street & Indiana,-87.62093295,41.80210347
6846,242,CERMAK,21,Cermak & Archer,-87.6342735,41.85294079
15316,243,35TH STREET,35,35th Street & Michigan,-87.62369993,41.83109973
367,244,ROOSEVELT,12,Roosevelt & Keeler,-87.72995235,41.86618436
17019,245,BELMONT,77,Belmont & Central,-87.76677666,41.93863989
15337,246,GRAND,65,Grand & Menard,-87.77091308,41.91975665
6859,247,CERMAK,21,Cermak & Throop,-87.65859158,41.85250609
7590,248,127TH STREET,"34,108",127th Street & Michigan,-87.61978427,41.66354445
11378,249,MONTROSE,78,Montrose & Oakley,-87.686301,41.961398
786,250,GRAND,65,Grand & Wood,-87.671862,41.8909867
1541,251,51ST STREET,15,51st Street & King Drive,-87.61682331,41.8021636
13079,252,59TH STREET,59,59th Street & Sacramento,-87.69833257,41.78638521
622,253,CHICAGO,66,Chicago & Ashland,-87.66707916,41.89615141
17487,254,HALSTED,8,Halsted & Lincoln/Fullerton,-87.64867694,41.92571877
17462,255,PULASKI,53,Pulaski & Addison,-87.72749217,41.94618759
17354,256,79TH STREET,79,79th Street & Colfax,-87.56119292,41.75174071
17468,257,BELMONT,77,Belmont & Mason,-87.77471056,41.93840665
17469,258,BELMONT,77,Belmont & Lamon,-87.74904333,41.93873824
17470,259,BELMONT,77,Belmont & Kenosha,-87.73416153,41.93893101
17472,260,HALSTED,"8,8A",Halsted & 79th Street Terminal,-87.64370184,41.74980413
14283,261,CENTRAL STREET,"201,206",Central Street & Walnut,-87.7046645,42.06447731
988,262,NORTH AVENUE,72,North Ave & Meade,-87.77747005,41.90929576
4813,263,FOSTER,92,Foster & Washtenaw,-87.69635994,41.97591499
12360,264,MONTEREY,112,Monterey & Hermosa,-87.66671706,41.69082915
12362,265,MONTEREY,112,Monterey & Hale,-87.67043939,41.69199534
13034,266,61ST STREET,"N4,59",61st Street & Langley,-87.60837789,41.78407046
12201,267,103RD STREET,103,3000 W 103rd Street,-87.69627081,41.70635192
7940,268,BELMONT,77,Belmont & Washtenaw,-87.69506341,41.93949232
13065,269,59TH STREET,59,59th Street & Laflin,-87.66176469,41.78684883
12291,270,103RD STREET,"34,106",103rd Street & Indiana,-87.61852819,41.70730326
9306,271,BELMONT,77,Belmont & Paulina,-87.67100319,41.93972449
9193,272,51ST STREET,15,51st Street & Wentworth,-87.63019,41.8019
7515,273,31ST STREET,31,31st Street & Canal,-87.63766642,41.8382242
15790,274,87TH STREET,"24,87",87th Street & Morgan,-87.64883777,41.73610083
14225,275,WACKER,"134,135,136",Wacker & State,-87.62814441,41.88702684
11413,276,MONTROSE,78,Montrose & Menard,-87.77200468,41.96047939
14621,277,PULASKI,53,Pulaski & Wellington,-87.72720652,41.93526488
3068,278,KEDZIE,52,Kedzie & 36th Street,-87.70465074,41.82817004
5584,279,MILWAUKEE,56,Milwaukee & Berteau,-87.75114444,41.95697792
3685,280,HALSTED,8A,Halsted & 83rd Street,-87.643883,41.743515
5163,281,RACINE,44,Racine & 51st Street,-87.655104,41.8015
2408,282,STATE,29,State & 43rd Street,-87.62639712,41.81659818
14612,283,CALIFORNIA,94,California & Madison,-87.69637461,41.88089101
2231,284,KING DRIVE,3,King Drive & 63rd Street,-87.61569366,41.77995847
5024,285,CLINTON,"128,132,192",Clinton & Madison,-87.641267,41.881976
5629,286,IRVING PARK,80,Irving Park & Lamon,-87.74994875,41.95330775
10532,287,GARFIELD,55,Garfield & Racine,-87.6544638,41.79375704
396,288,MADISON,20,Madison & Lockwood,-87.75778965,41.88025187
15383,289,HARLEM,90,Harlem & Diversey,-87.80641009,41.93099446
15539,290,AUSTIN,91,Austin & Wellington,-87.77602671,41.93506074
6186,291,ASHLAND,9,Ashland & 57th Street,-87.66434247,41.79025299
10916,292,RACINE,"44,75",Racine & 76th Street,-87.65378542,41.75651946
880,293,NORTH AVENUE,72,North Ave & Hamlin,-87.721763,41.90988
26,294,JACKSON,126,Jackson & Central Park,-87.7154772,41.87714182
5660,295,IRVING PARK,80,Irving Park & Damen/Lincoln,-87.6788797,41.95404952
3385,296,63RD STREET,63,63rd Street & Keeler,-87.727742,41.778549
12445,297,119TH STREET,119,119th Street & Loomis,-87.65658841,41.67754029
15698,298,ADDISON,152,Addison & Narragansett,-87.78595115,41.94560324
1881,299,DEARBORN,"22,24,36,62,151",Dearborn & Monroe,-87.629285,41.880948
5954,300,HALSTED,8,Halsted & Armitage,-87.64841955,41.91807745
2752,301,79TH STREET,79,79th Street & Wood,-87.66832726,41.75024126
7661,302,35TH STREET,35,35th Street & Damen,-87.675437,41.830338
6688,303,POLK,157,Polk & Damen,-87.67656925,41.87142309
2778,304,79TH STREET,79,79th Street & Indiana,-87.6198742,41.75098439
2889,305,111TH STREET,111,111th Street & Michigan,-87.62122408,41.69253952
389,306,MADISON,20,Madison & Menard,-87.76992191,41.88008776
15789,307,87TH STREET,"24,87",87th Street & Morgan,-87.64808512,41.7358845
1631,308,51ST STREET,15,51st Street & King Drive,-87.61574132,41.80203876
7022,309,S. SHORE DRIVE,"N5,6,26,71",S. Shore Drive & 79th Street,-87.54823243,41.75223404
8171,310,47TH STREET,47,47th Street & Wallace,-87.64081761,41.80887375
10786,311,71ST STREET,71,71st Street & King Drive,-87.61548,41.76563
2890,312,111TH STREET,111,111th Street & Indiana,-87.61840705,41.69257126
1756,313,MORSE,155,Morse & Sheridan,-87.66177918,42.00790263
11161,314,HOMAN (east leg),82,Homan & Grand,-87.71154689,41.90027454
2497,315,COTTAGE GROVE,4,Cottage Grove & 60th Street,-87.60593411,41.78573679
6262,316,ASHLAND,9,Ashland & Webster,-87.66847102,41.92136043
4982,317,LASALLE,156,LaSalle & Huron,-87.63257579,41.89484249
6724,318,SEDGWICK,37,Sedgwick & North Avenue,-87.6385132,41.91096074
9420,1,87TH STREET,87,87th Street & Drexel,-87.60249853,41.7366103
9421,2,87TH STREET,87,87th Street & Dauphin/Ingleside,-87.601322,41.736645
3369,3,65TH STREET,165,65th Street & Long,-87.7566502,41.77441797
3743,4,LAWRENCE,81,Lawrence & Lawndale,-87.72080234,41.96821766
13014,5,61ST STREET,59,61st Street & Ellis,-87.60126456,41.78404668
332,6,ROOSEVELT,12,900 W Roosevelt,-87.64943144,41.86721921
11374,7,MONTROSE,78,Montrose & Winchester,-87.67737373,41.96153108
7115,8,STONY ISLAND,28,Stony Island & Anthony,-87.58540157,41.74868352
6995,9,COMMERCIAL,71,Commercial & 102nd Street,-87.5521846,41.7099611
10818,10,YATES,71,Yates & Exchange,-87.56642039,41.76566303
9628,11,AUSTIN,91,Austin & Fulton/Pleasant,-87.77475289,41.88567802
4163,12,ASHLAND,31,Ashland Orange Line Station,-87.6652554,41.83910322
10823,13,71ST STREET,71,71st Street & Merrill,-87.572452,41.766323
14896,14,DIVERSEY,76,Diversey & Mildred,-87.6513145,41.9327459
7519,15,31ST STREET,31,31st Street & Halsted,-87.64612406,41.83810209
6485,16,WENTWORTH,24,Wentworth & 26th Street,-87.631745,41.845315
10607,17,GARFIELD,55,Garfield & Damen,-87.67457834,41.79396924
1262,18,FULLERTON,74,Fullerton & Kostner,-87.73647819,41.92445662
601,19,CHICAGO,66,Chicago & State (Red Line),-87.62802244,41.89674104
15769,20,115TH STREET,115,115th Street & Halsted,-87.64256228,41.68515348
508,21,MADISON,20,Madison & Menard,-87.76966086,41.88026556
15557,22,GRAND,65,Grand & Hamlin,-87.7218211,41.90439661
9335,23,BELMONT,77,Belmont & Menard,-87.77126819,41.93857548
11379,24,MONTROSE,78,Montrose & Western,-87.68850147,41.96138618
12065,25,LUNT,96,Lunt & Clark,-87.67418355,42.00903531
15108,26,ONTARIO,125,Ontario & State,-87.6283778,41.89334287
10629,27,55TH STREET,55,55th Street & Keeler,-87.72794915,41.79324074
12267,28,106TH STREET,"26,100",106th Street & Avenue O,-87.53999099,41.70281547
12272,29,106TH STREET,"26,100",106th Street & Muskegon,-87.554664,41.70284488
14862,30,PERSHING,39,Pershing & Halsted,-87.64634449,41.82353989
5086,31,HALSTED,"8,44",Halsted & 47th Street,-87.645433,41.809109
9145,32,PULASKI,53,Pulaski & Foster,-87.72810981,41.97538338
6446,33,WENTWORTH,24,Wentworth & 71st Street,-87.62969,41.765295
9087,34,PULASKI,53,Pulaski & Harrison (Blue Line),-87.7253129,41.87337304
6767,35,18TH STREET,18,18th Street & Racine,-87.656531,41.857894
11939,36,93RD STREET,"N5,95",93rd Street & Jeffery,-87.57559134,41.72605615
4925,37,IRVING PARK,"80,135,148",Irving Park & Clarendon,-87.64940981,41.95451091
12453,38,119TH STREET,119,119th Street & Halsted,-87.64214226,41.67774285
5702,39,IRVING PARK,80,Irving Park & Kimball,-87.71279203,41.95396828
11897,40,CALIFORNIA,93,California & Foster,-87.69884183,41.97602576
11409,41,MONTROSE,78,Montrose & Long,-87.76215122,41.96063576
11069,42,DIVERSEY,76,Diversey & Kedzie,-87.70730498,41.93211818
9476,43,87TH STREET,87,87th Street & Dobson,-87.598957,41.736782
17166,44,MADISON,20,Madison & Kostner,-87.73573853,41.88072053
17200,45,DEVON,155,Devon & Sacramento,-87.70469739,41.99753451
14958,46,MADISON,20,Madison & Laramie,-87.7553341,41.88046755
10096,47,69TH STREET,67,69th Street & Halsted,-87.64437737,41.76890717
4756,48,FOSTER,92,Foster & Cicero,-87.74821962,41.9752625
9186,49,51ST STREET,15,51st Street & State,-87.6261143,41.80187226
15480,50,BELMONT,77,Belmont & Menard,-87.77112736,41.93845382
6690,51,POLK,157,Polk & Wood,-87.671593,41.871467
11028,52,DIVERSEY,76,Diversey Brown Line Station,-87.65362119,41.93257845
2731,53,79TH STREET,79,79th Street & Lawndale,-87.71461124,41.74951728
315,54,ROOSEVELT,"12,18,N62",Roosevelt & Clark,-87.63060611,41.86723861
8160,55,47TH STREET,"47,48",47th Street & Damen,-87.67483486,41.80844666
14517,56,CHICAGO,66,Chicago & Homan,-87.71104249,41.89543299
10812,57,71ST STREET,71,71st Street & Yates,-87.566643,41.7658
1721,58,DEVON,155,Devon & Kedzie,-87.70904957,41.9973267
12499,59,ADDISON,152,Addison & Laramie,-87.7570356,41.94590359
2033,60,DIVISION,70,Division & Wells,-87.63465985,41.90378504
21,61,JACKSON,126,Jackson & Keeler,-87.7302,41.876963
14506,62,87TH STREET,"24,87",87th Street & Halsted,-87.64313113,41.73597648
17131,63,DIVISION,70,Division & Wood,-87.67209195,41.9031949
12055,64,LUNT,96,Lunt & Clark,-87.67409148,42.008931
12969,65,59TH STREET,59,59th Street & California,-87.69374133,41.78633562
7220,66,69TH STREET,"N5,30,67",69th Street & King Drive,-87.61548253,41.76928055
189,67,HARRISON,7,Harrison & Oakley,-87.683913,41.873882
10285,68,CICERO,54,Cicero & Lexington (Blue Line),-87.744822,41.871076
14943,69,EWING,30,Ewing & 106th Street,-87.53519336,41.70298015
8959,70,DAMEN,50,Damen & Argyle,-87.67922,41.972305
17192,71,NARRAGANSETT,86,Narragansett & Grand,-87.78532602,41.92275816
17213,72,PULASKI,53,Pulaski & 14th Street,-87.72497574,41.8626889
17344,73,WESTERN,49,Western & Hirsch,-87.68699223,41.90681176
8703,74,DAMEN,48,Damen & 87th Street Terminal,-87.67298324,41.73623458
5019,75,CHESTNUT,"10,125",Chestnut & Mies Van Der Rohe,-87.62267307,41.89846025
15121,76,FOSTER,92,Foster & Jewel Prking Ent,-87.72934584,41.97560011
5788,77,HALSTED,8,Halsted & Erie,-87.647744,41.893451
9943,78,NORTHWEST HWY,68,Northwest Hwy & Nagle,-87.78782075,41.98593988
8630,79,79TH STREET,169,79th Street & Western,-87.683067,41.750001
16061,80,LINCOLN,11,Lincoln & Cornelia,-87.67234956,41.94483597
6511,81,WENTWORTH,24,4200 S Wentworth,-87.631253,41.81805
6496,82,WENTWORTH,24,Wentworth & 27th Street,-87.63194196,41.84413074
6521,83,WELLS,24,Wells & 52nd Street,-87.632012,41.800185
7473,84,31ST STREET,31,31st Street & Morgan,-87.65117586,41.83791346
8093,85,47TH STREET,"47,94",47th Street & Rockwell,-87.68921338,41.80842082
9329,86,BELMONT,77,Belmont & Laramie,-87.75649627,41.93877162
6823,87,18TH STREET,18,18th Street & Western,-87.68568274,41.85732922
8782,88,DAMEN,48,Damen & 63rd Street,-87.67399408,41.77943582
1818,89,CLARK,22,Clark & Irving Park,-87.66243286,41.95449734
9036,90,PULASKI,53,Pulaski & Jackson,-87.72564233,41.87717005
5855,91,HALSTED,8,Halsted & 71st Street,-87.644472,41.765332
3834,92,LARAMIE,57,Laramie & Augusta,-87.755751,41.898664
4687,93,63RD STREET,"62H,63W",63rd Street & 74th Avenue,-87.80566527,41.77726123
12377,94,111TH STREET,112,111th Street & Spaulding,-87.70325722,41.69159059
10126,95,71ST STREET,67,71st Street & Lawndale,-87.71490599,41.76424748
1758,96,DEVON,"36,151,155",Devon & Lakewood,-87.66292168,41.99823889
10879,97,75TH STREET,75,75th Street & Eberhart,-87.6125518,41.75851229
9302,98,BELMONT,77,Belmont & Lakewood,-87.66123383,41.93987483
9323,99,BELMONT,77,Belmont & Kilbourn,-87.73939003,41.93897901
10892,100,74TH STREET,75,74th Street & Parnell,-87.6384219,41.75989204
3285,101,63RD STREET,63W,63rd Street & Leamington,-87.75083652,41.77831585
17090,102,71ST STREET,71,71st Street & Eberhart,-87.6129794,41.76582986
12181,103,103RD STREET,103,103rd Street & Malta,-87.65698072,41.70683019
12591,104,ADDISON,152,Addison & Kostner,-87.7371856,41.9463062
9354,105,BELMONT,77,Belmont & Oriole (76th Avenue),-87.81638679,41.93801371
12193,106,103RD STREET,103,103rd Street & Oakley,-87.67988454,41.70643624
6826,107,16TH STREET,18,16th Street & Washtenaw,-87.69317542,41.85930576
148,108,JACKSON,126,Jackson & Lotus,-87.76154549,41.87661212
12061,109,LUNT,96,Lunt & Glenwood,-87.66612529,42.00917098
10128,110,71ST STREET,67,71st Street & Springfield,-87.719663,41.764157
6836,111,16TH STREET,18,16th Street & Springfield,-87.72229925,41.85896155
497,112,MADISON,20,Madison & Lamon,-87.7475185,41.88057059
15819,113,119TH STREET,119,119th Street & Western,-87.68030669,41.6771407
12182,114,103RD STREET,103,103rd Street & Charles,-87.65854774,41.70680429
11898,115,CALIFORNIA,93,California & Berwyn,-87.698904,41.977569
1522,116,S HYDE PARK,"6,28",5200 S S Hyde Park,-87.58442446,41.80084655
5068,117,RACINE,44,Racine & 61st Street,-87.65451257,41.78316667
14368,118,DODGE,"93,206",Dodge & Lee,-87.69908952,42.03557743
9710,119,NAGLE,86,Nagle & Haft,-87.78743096,41.99514985
9074,120,PULASKI,53,Pulaski Pink Line Station,-87.7246994,41.85367978
4435,121,ARCHER,62,Archer & 34th Street,-87.67391666,41.83256542
6101,122,ASHLAND,9,Ashland & 66th Street,-87.66420062,41.77411854
10460,123,SKOKIE BLVD,54A,Skokie Blvd & Madison,-87.747551,42.031601
2868,124,VINCENNES,111,Vincennes & Montvale,-87.66561518,41.6882486
3091,125,KEDZIE,"52,52A",Kedzie & 56th Street,-87.7035844,41.79178516
2940,126,115TH STREET,115,115th Street & Aberdeen,-87.64950931,41.68493495
8147,127,47TH STREET,47,47th Street & Albany,-87.70156659,41.80810095
9287,128,BELMONT,77,Belmont & Seminary,-87.65665745,41.93979981
9239,129,BELMONT,77,Belmont & New England,-87.79822,41.93806
11935,130,95TH STREET,"N5,95,100",1500 E 95th Street,-87.587952,41.722204
4033,131,ARMITAGE,73,4600 W Armitage,-87.74179864,41.91692728
4043,132,ARMITAGE,73,Armitage & Lawndale,-87.71932438,41.91719359
8157,133,47TH STREET,"47,48",47th Street & Oakley,-87.68210615,41.80837501
9722,134,LAWRENCE,81W,Lawrence & Octavia,-87.809603,41.967098
7801,135,PERSHING,39,Pershing & Francisco,-87.69720914,41.82267977
14526,136,75TH STREET,71,75th Street & Exchange,-87.55956205,41.75928998
31,137,JACKSON,126,Jackson & Albany,-87.703323,41.877288
9263,138,BELMONT,77,Belmont & Knox,-87.74329322,41.93880549
11027,139,DIVERSEY,76,Diversey & Seminary,-87.65646692,41.9325708
7256,140,91ST STREET,"26,30",91st Street & Brandon,-87.54698928,41.7300318
9957,141,115TH STREET,52A,115th Street & Lawndale,-87.71292126,41.68401992
9614,142,FILLMORE,91,Fillmore & Austin,-87.77406269,41.86722455
8043,143,ROOT,43,Root & Princeton,-87.633645,41.818996
12680,144,CHURCH,"201,205",Church & Maple,-87.68505817,42.0484013
2881,145,111TH STREET,111,111th Street & Union,-87.64005435,41.69232493
15423,146,OLD ORCHARD RD,201,4700 W Old Orchard Rd,-87.74472966,42.06231542
185,147,HARRISON,7,Harrison & Washtenaw,-87.693779,41.873755
10938,148,75TH STREET,75,75th Street & Langley,-87.60793922,41.75847934
6753,149,16TH STREET,18,16th Street & Rockwell,-87.6907968,41.8592524
12472,150,ADDISON,152,Addison & Overhill,-87.819706,41.945169
9442,151,87TH STREET,87,87th Street & Escanaba,-87.55430104,41.73728795
11447,152,PETERSON,84,Peterson & Lincoln,-87.70749485,41.99028092
1732,153,DEVON,155,Devon & Hoyne,-87.68267389,41.99774722
9968,154,KEDZIE,52A,Kedzie & 109th Street,-87.700872,41.695129
11915,155,CALIFORNIA,93,California & Lunt,-87.699695,42.008364
2169,156,KING DRIVE,3,King Drive & 33rd Street,-87.61693354,41.8349499
9970,157,KEDZIE,52A,Kedzie & 107th Street,-87.701005,41.698785
13126,158,OAKTON,206,Oakton & Asbury,-87.69019555,42.02682815
11495,159,PETERSON,84,Peterson & Jersey,-87.71078294,41.99047014
4551,160,55TH STREET,55N,55th Street & Meade,-87.77438403,41.79255037
9510,161,87TH STREET,87,87th Street & Longwood,-87.67587426,41.73572283
3294,162,63RD STREET,63W,63rd Street & Mayfield,-87.7688993,41.77797235
234,163,CONGRESS,"7,126",Congress & Hamlin/Independence,-87.71961417,41.87450949
9523,164,87TH STREET,87,87th Street & Hamlin,-87.71645347,41.73503601
947,165,NORTH AVENUE,72,North Ave & Leavitt,-87.6822277,41.91049688
2630,166,79TH STREET,79,79th Street & Cottage Grove,-87.60505167,41.7513569
10830,167,71ST STREET,71,71st Street & Stony Island,-87.585703,41.766197
142,168,JACKSON,126,Jackson & Lavergne,-87.74934028,41.87680393
5736,169,IRVING PARK,80,Irving Park & Neenah,-87.79076286,41.95291534
4203,170,CALIFORNIA,94,California & Harrison,-87.69600213,41.87369282
15303,171,CALIFORNIA,94,California & Harrison,-87.69618096,41.87358674
4197,172,CALIFORNIA,94,California & Roosevelt,-87.69578135,41.86634978
3323,173,65TH STREET,165,65th Street & Lavergne,-87.74683542,41.7747378
13085,174,59TH STREET,59,59th Street & Central Park,-87.71271871,41.78616726
1536,175,51ST STREET,15,51st Street & Evans,-87.60785102,41.80228814
5683,176,IRVING PARK,80,Irving Park & Hermitage,-87.67208942,41.95435276
7262,177,EWING,"26,30",Ewing & 94th Street,-87.53818993,41.72479802
7261,178,EWING,"26,30",9320 S Ewing,-87.54005052,41.7266446
5064,179,RACINE,44,Racine & 64th Street,-87.654353,41.777731
7583,180,LANGLEY,34,Langley & 132nd Street,-87.60506922,41.65571789
6493,181,WENTWORTH,24,Wentworth & 23rd Street,-87.632022,41.851087
16195,182,CERMAK,21,Cermak & Loomis,-87.66138582,41.85249355
6944,183,CERMAK,21,Cermak & Morgan,-87.651491,41.852502
12527,184,ADDISON,152,Addison & Western,-87.68847434,41.9466599
14515,185,CHICAGO,66,Chicago & Hamlin,-87.72091557,41.8953398
12400,186,111TH STREET,112,111th Street & Campbell,-87.683758,41.691708
413,187,MADISON,20,Madison & St. Louis,-87.71381964,41.88081388
4032,188,ARMITAGE,73,Armitage & Kilpatrick,-87.743792,41.916901
5597,189,IRVING PARK,80,Acacia Park Cemetery,-87.82371561,41.95228789
14702,190,GOLF ROAD,205,Golf Road & Hamlin,-87.72279171,42.05521183
403,191,MADISON,20,Madison & Kenton,-87.740705,41.880475
2893,192,111TH STREET,"4,111A,115",111th Street & Vernon,-87.61226293,41.69267046
9000,694,PULASKI,53,Pulaski & Milwaukee,-87.72733,41.941411
9577,695,AUSTIN,91,Austin & Diversey,-87.776032,41.931212
8260,696,WESTERN,49,Western & 31st Street,-87.68529,41.83911
9270,697,BELMONT,77,Belmont & Milwaukee,-87.72398399,41.93906153
7252,698,92ND STREET,"30,9E",92nd Street & Commercial,-87.55133963,41.72818417
12986,699,59TH STREET,59,59th Street & Morgan,-87.6499566,41.78689578
14959,700,MADISON,20,Madison & Cicero,-87.74496781,41.88039237
9960,701,115TH STREET,52A,115th Street & Homan,-87.70552666,41.68412464
11530,702,CENTRAL,85,Central & Irving Park,-87.76709588,41.95332086
17079,703,CERMAK,"3,21",Cermak & Michigan,-87.62354147,41.85274871
1336,704,FULLERTON,74,Fullerton & Damen,-87.67801932,41.92494051
64,705,JACKSON,126,Jackson & Halsted,-87.64696658,41.8778898
4581,706,55TH STREET,"55A,55N",55th Street & Menard,-87.767291,41.792578
15377,707,ROOSEVELT,"12,18,N62",Roosevelt & Clark,-87.63083778,41.86748977
99,708,VAN BUREN,126,Van Buren & Ogden,-87.67187647,41.87632903
9191,709,51ST STREET,15,51st Street & State,-87.62569877,41.80201611
590,710,GRAND,"2,29,65,66",Grand & Fairbanks/Columbus,-87.620009,41.891862
10083,711,67TH STREET,"N5,67",67th Street & St. Lawrence,-87.61039285,41.77311598
6632,712,TAYLOR,157,Taylor & Loomis,-87.66149318,41.86939688
747,713,ILLINOIS,65,Illinois & Clark,-87.631279,41.890758
11316,714,MONTROSE,78,Montrose & Central,-87.76736801,41.96041525
4742,715,PULASKI,53A,Pulaski & 107th Street,-87.72067,41.698652
2827,716,COTTAGE GROVE,"4,115",Cottage Grove & 101st Street,-87.60580873,41.71096377
9905,717,NORTHWEST HWY,68,Northwest Hwy & Oketo,-87.81160017,41.99992898
5833,718,HALSTED,8,Halsted & 52nd Street,-87.64539338,41.79983714
5842,719,HALSTED,8,Halsted & 60th Street,-87.64501719,41.78530231
11192,720,CENTRAL PARK,82,Central Park & 18th Street,-87.71522,41.857221
1703,721,WESTERN,49B,Western & Arthur,-87.689999,41.999618
3147,722,KEDZIE,52,Kedzie & 15th Street,-87.705443,41.861232
11259,723,KIMBALL,82,Kimball & Dickens,-87.711854,41.919084
11759,724,NARRAGANSETT,86,Narragansett & Waveland,-87.786242,41.947403
8916,725,DAMEN,50,Damen & Hubbard,-87.676785,41.889636
11607,726,CENTRAL,85,Central & Schubert,-87.766099,41.929361
3101,727,KEDZIE,"52,52A",Kedzie & 62nd Street,-87.70312583,41.7807125
3377,728,CICERO,"54B,165",Cicero & 64th Street,-87.74207027,41.77643353
10393,729,CICERO,54B,Cicero & 46th Street,-87.74301804,41.80936749
5318,730,STONY ISLAND,"6,15,28",Stony Island & 64th Street,-87.58633138,41.77876403
9118,731,PULASKI,53,Pulaski & Altgeld,-87.72672262,41.92623003
10388,732,CICERO,54B,Cicero & 65th Street,-87.74199316,41.77469136
4218,733,SACRAMENTO,94,Sacramento & Ohio,-87.70190198,41.89180315
7704,734,HARLEM,62H,Harlem & 61st Street,-87.800915,41.780856
6725,735,SEDGWICK,37,Sedgwick & Eugenie,-87.63856635,41.9127576
7350,736,EWING,"30,100",Ewing & 110th Street,-87.5351643,41.69536221
2115,737,KING DRIVE,3,King Drive & 85th Street,-87.61447162,41.74020933
8932,738,DAMEN,50,Damen & Cortland,-87.67749927,41.91587564
3552,739,NILES CENTER,97,8200 N Niles Center,-87.75331607,42.02977215
9144,740,PULASKI,53,5061 N Pulaski,-87.72802,41.973522
9146,741,PULASKI,53,5300 N Pulaski,-87.72819541,41.97757051
16068,742,CICERO,54B,Cicero & Pershing,-87.74336636,41.82232724
9099,743,PULASKI,53,Pulaski & Erie,-87.72590416,41.89273541
11731,744,RIDGELAND,86,Ridgeland & Iowa,-87.784802,41.896298
12912,745,PULASKI,53A,Pulaski & 82nd Street,-87.72153645,41.74395743
9660,746,AUSTIN,91,Austin & Cornelia,-87.776348,41.943845
2325,747,STATE,29,State & 40th Street,-87.62629,41.821713
